bat_mxn,Porcentage,Time
6.66,0.0,03:54:34
6.66,0.0,03:55:08
6.66,0.0,03:55:41
6.66,0.0,03:56:14
6.66,0.0,03:56:47
6.66,0.0,03:57:21
6.66,0.0,03:57:54
6.66,0.0,03:58:27
6.66,0.0,03:59:01
6.66,0.0,03:59:34
6.66,0.0,04:00:07
6.66,0.0,04:00:40
6.66,0.0,04:01:13
6.66,0.0,04:01:46
6.66,0.0,04:02:19
6.66,0.0,04:02:53
6.66,0.0,04:03:26
6.66,0.0,04:03:59
6.66,0.0,04:04:32
6.66,0.0,04:05:05
6.66,0.0,04:05:38
6.66,0.0,04:06:11
6.66,0.0,04:06:45
6.66,0.0,04:07:18
6.66,0.0,04:07:51
6.66,0.0,04:08:24
6.8,2.1021021,04:08:57
6.81,0.14705882,04:09:30
6.82,0.14684288,04:10:03
6.82,0.0,04:10:36
6.82,0.0,04:11:09
6.82,0.0,04:11:42
6.82,0.0,04:12:15
6.82,0.0,04:12:49
6.82,0.0,04:13:22
6.82,0.0,04:13:56
6.82,0.0,04:14:29
6.82,0.0,04:15:02
6.82,0.0,04:15:34
6.82,0.0,04:16:07
6.82,0.0,04:16:41
6.82,0.0,04:17:14
6.82,0.0,04:17:47
6.82,0.0,04:18:21
6.82,0.0,04:18:54
6.82,0.0,04:19:27
6.82,0.0,04:20:00
6.82,0.0,04:20:34
6.83,0.14662757,04:21:07
6.83,0.0,04:21:39
6.83,0.0,04:22:12
6.83,0.0,04:22:46
6.83,0.0,04:23:19
6.83,0.0,04:23:52
6.83,0.0,04:24:25
6.83,0.0,04:24:58
6.83,0.0,04:25:30
6.83,0.0,04:26:03
6.83,0.0,04:26:36
6.83,0.0,04:27:10
6.83,0.0,04:27:43
6.83,0.0,04:28:16
6.83,0.0,04:28:50
6.83,0.0,04:29:23
6.83,0.0,04:29:56
6.83,0.0,04:30:30
6.84,0.14641288,04:31:03
6.84,0.0,04:31:36
6.84,0.0,04:32:10
6.84,0.0,04:32:42
6.84,0.0,04:33:15
6.84,0.0,04:33:49
6.84,0.0,04:34:22
6.84,0.0,04:34:56
6.84,0.0,04:35:29
6.84,0.0,04:36:02
6.84,0.0,04:36:34
6.84,0.0,04:37:08
6.84,0.0,04:37:41
6.84,0.0,04:38:14
6.84,0.0,04:38:48
6.84,0.0,04:39:21
6.84,0.0,04:39:53
6.84,0.0,04:40:26
6.84,0.0,04:40:59
6.84,0.0,04:41:33
6.84,0.0,04:42:06
6.84,0.0,04:42:40
6.84,0.0,04:43:49
6.84,0.0,04:44:23
6.84,0.0,04:44:56
6.84,0.0,04:45:29
6.84,0.0,04:46:02
6.84,0.0,04:46:35
6.84,0.0,04:47:08
6.84,0.0,04:47:41
6.84,0.0,04:48:14
6.84,0.0,04:48:48
6.84,0.0,04:49:21
6.84,0.0,04:49:54
6.84,0.0,04:50:27
6.84,0.0,04:51:00
6.84,0.0,04:51:34
6.84,0.0,04:52:07
6.84,0.0,04:52:41
6.84,0.0,04:53:13
6.84,0.0,04:53:47
6.84,0.0,04:54:20
6.84,0.0,04:54:54
6.84,0.0,04:55:26
6.84,0.0,04:56:00
6.84,0.0,04:56:33
6.84,0.0,04:57:06
6.84,0.0,04:57:39
6.84,0.0,04:58:13
6.84,0.0,04:58:46
6.84,0.0,04:59:19
6.84,0.0,04:59:52
6.84,0.0,05:00:25
6.84,0.0,05:00:58
6.92,1.16959064,05:01:31
6.92,0.0,05:02:04
6.92,0.0,05:02:38
6.92,0.0,05:03:11
6.92,0.0,05:03:44
6.92,0.0,05:04:17
6.92,0.0,05:04:51
6.92,0.0,05:05:23
6.78,-2.02312139,05:05:56
6.78,0.0,05:06:29
6.78,0.0,05:07:03
6.78,0.0,05:07:36
6.78,0.0,05:08:09
6.78,0.0,05:08:42
6.78,0.0,05:09:15
6.78,0.0,05:09:48
6.78,0.0,05:10:22
6.78,0.0,05:10:54
6.78,0.0,05:11:28
6.78,0.0,05:12:01
6.78,0.0,05:12:34
6.78,0.0,05:13:07
6.78,0.0,05:13:41
6.78,0.0,05:14:14
6.78,0.0,05:14:47
6.78,0.0,05:15:21
6.78,0.0,05:15:54
6.78,0.0,05:16:27
6.78,0.0,05:17:00
6.78,0.0,05:17:33
6.78,0.0,05:18:07
6.78,0.0,05:18:40
6.78,0.0,05:19:13
6.78,0.0,05:19:47
6.78,0.0,05:20:20
6.78,0.0,05:20:53
6.78,0.0,05:21:26
6.78,0.0,05:22:00
6.78,0.0,05:22:33
6.78,0.0,05:23:07
6.78,0.0,05:23:40
6.78,0.0,05:24:13
6.78,0.0,05:24:47
6.78,0.0,05:25:20
6.78,0.0,05:25:53
6.78,0.0,05:26:27
6.78,0.0,05:27:00
6.78,0.0,05:27:33
6.78,0.0,05:28:06
6.78,0.0,05:28:40
6.78,0.0,05:29:13
6.78,0.0,05:29:47
6.78,0.0,05:30:19
6.78,0.0,05:30:53
6.78,0.0,05:31:26
6.78,0.0,05:31:58
6.78,0.0,05:32:32
6.78,0.0,05:33:04
6.78,0.0,05:33:38
6.78,0.0,05:34:11
6.78,0.0,05:34:44
6.78,0.0,05:35:17
6.78,0.0,05:35:50
6.78,0.0,05:36:23
6.78,0.0,05:36:56
6.78,0.0,05:37:30
6.78,0.0,05:38:03
6.78,0.0,05:38:36
6.78,0.0,05:39:10
6.78,0.0,05:39:43
6.78,0.0,05:40:16
6.78,0.0,05:40:49
6.78,0.0,05:41:23
6.78,0.0,05:41:56
6.78,0.0,05:42:29
6.78,0.0,05:43:03
6.78,0.0,05:43:36
6.78,0.0,05:44:10
6.78,0.0,05:44:43
6.78,0.0,05:45:16
6.78,0.0,05:45:49
6.78,0.0,05:46:22
6.78,0.0,05:46:56
6.78,0.0,05:47:29
6.78,0.0,05:48:03
6.78,0.0,05:48:35
6.78,0.0,05:49:08
6.78,0.0,05:49:41
6.78,0.0,05:50:15
6.78,0.0,05:50:48
6.78,0.0,05:51:21
6.78,0.0,05:51:54
6.78,0.0,05:52:27
6.78,0.0,05:53:00
6.78,0.0,05:53:33
6.78,0.0,05:54:06
6.78,0.0,05:54:39
6.78,0.0,05:55:12
6.78,0.0,05:55:45
6.78,0.0,05:56:18
6.78,0.0,05:56:50
6.78,0.0,05:57:24
6.78,0.0,05:57:57
6.78,0.0,05:58:30
6.78,0.0,05:59:03
6.78,0.0,05:59:36
6.78,0.0,06:00:09
6.78,0.0,06:00:42
6.78,0.0,06:01:15
6.78,0.0,06:01:48
6.78,0.0,06:02:22
6.78,0.0,06:02:55
6.78,0.0,06:03:28
6.78,0.0,06:04:01
6.78,0.0,06:04:34
6.78,0.0,06:05:07
6.72,-0.88495575,06:05:39
6.72,0.0,06:06:13
6.72,0.0,06:06:46
6.72,0.0,06:07:19
6.72,0.0,06:07:52
6.72,0.0,06:08:25
6.72,0.0,06:08:58
6.72,0.0,06:09:31
6.72,0.0,06:10:04
6.72,0.0,06:10:37
6.72,0.0,06:11:10
6.72,0.0,06:11:43
6.72,0.0,06:12:15
6.72,0.0,06:12:49
6.72,0.0,06:13:22
6.72,0.0,06:13:55
6.72,0.0,06:14:28
6.72,0.0,06:15:01
6.72,0.0,06:15:34
6.72,0.0,06:16:07
6.72,0.0,06:16:40
6.72,0.0,06:17:14
6.72,0.0,06:17:47
6.72,0.0,06:18:21
6.72,0.0,06:18:54
6.72,0.0,06:19:27
6.72,0.0,06:20:00
6.72,0.0,06:20:33
6.72,0.0,06:21:05
6.72,0.0,06:21:38
6.72,0.0,06:22:12
6.72,0.0,06:22:45
6.72,0.0,06:23:19
6.72,0.0,06:23:52
6.72,0.0,06:24:24
6.72,0.0,06:24:57
6.72,0.0,06:25:31
6.72,0.0,06:26:04
6.72,0.0,06:26:37
6.72,0.0,06:27:10
6.72,0.0,06:27:43
6.72,0.0,06:28:16
6.72,0.0,06:28:49
6.72,0.0,06:29:22
6.72,0.0,06:29:55
6.72,0.0,06:30:29
6.72,0.0,06:31:02
6.72,0.0,06:31:35
6.72,0.0,06:32:08
6.72,0.0,06:32:41
6.72,0.0,06:33:15
6.72,0.0,06:33:48
6.72,0.0,06:34:21
6.72,0.0,06:34:54
6.72,0.0,06:35:27
6.72,0.0,06:36:00
6.72,0.0,06:36:34
6.72,0.0,06:37:07
6.72,0.0,06:37:41
6.72,0.0,06:38:15
6.72,0.0,06:38:48
6.72,0.0,06:39:22
6.72,0.0,06:39:55
6.72,0.0,06:40:29
6.72,0.0,06:41:02
6.76,0.5952381,06:41:35
6.76,0.0,06:42:08
6.78,0.29585799,06:42:41
6.78,0.0,06:43:14
6.78,0.0,06:43:48
6.79,0.14749263,06:44:21
6.79,0.0,06:44:55
6.79,0.0,06:45:28
6.84,0.73637703,06:46:01
6.84,0.0,06:46:34
6.84,0.0,06:47:08
6.84,0.0,06:47:41
6.84,0.0,06:48:14
6.84,0.0,06:48:48
6.84,0.0,06:49:21
6.84,0.0,06:49:55
6.84,0.0,06:50:28
6.84,0.0,06:51:01
6.84,0.0,06:51:35
6.84,0.0,06:52:08
6.84,0.0,06:52:41
6.84,0.0,06:53:14
6.84,0.0,06:53:48
6.84,0.0,06:54:21
6.84,0.0,06:54:55
6.84,0.0,06:55:28
6.84,0.0,06:56:40
6.84,0.0,06:57:13
6.84,0.0,06:57:47
6.84,0.0,06:58:20
6.78,-0.87719298,06:58:54
6.78,0.0,06:59:27
6.78,0.0,06:59:59
6.78,0.0,07:00:33
6.78,0.0,07:01:05
6.78,0.0,07:01:38
6.78,0.0,07:02:11
6.78,0.0,07:02:44
6.78,0.0,07:03:17
6.78,0.0,07:03:50
6.78,0.0,07:04:23
6.78,0.0,07:04:56
6.78,0.0,07:05:29
6.78,0.0,07:06:02
6.84,0.88495575,07:06:35
6.92,1.16959064,07:07:08
6.93,0.14450867,07:07:41
6.93,0.0,07:08:14
6.95,0.28860029,07:08:48
6.96,0.14388489,07:09:21
6.89,-1.00574713,07:09:55
6.92,0.43541364,07:10:27
6.96,0.57803468,07:11:00
6.96,0.0,07:11:34
6.96,0.0,07:12:07
6.96,0.0,07:12:40
6.96,0.0,07:13:13
6.96,0.0,07:13:47
6.96,0.0,07:14:20
6.96,0.0,07:14:53
6.96,0.0,07:15:26
6.96,0.0,07:15:59
6.96,0.0,07:16:31
6.96,0.0,07:17:04
6.96,0.0,07:17:37
6.96,0.0,07:18:11
6.96,0.0,07:18:44
6.96,0.0,07:19:17
6.96,0.0,07:19:50
6.96,0.0,07:20:23
6.96,0.0,07:20:56
6.96,0.0,07:21:29
6.96,0.0,07:22:02
6.96,0.0,07:22:36
6.96,0.0,07:23:09
6.96,0.0,07:23:41
6.83,-1.86781609,07:24:15
6.83,0.0,07:24:48
6.83,0.0,07:25:22
6.83,0.0,07:25:55
6.83,0.0,07:26:28
6.85,0.29282577,07:27:01
6.85,0.0,07:27:34
6.85,0.0,07:28:07
6.85,0.0,07:28:40
6.85,0.0,07:29:14
6.85,0.0,07:29:47
6.96,1.60583942,07:30:20
6.96,0.0,07:30:53
6.96,0.0,07:31:27
6.96,0.0,07:32:00
6.96,0.0,07:32:32
6.96,0.0,07:33:06
6.96,0.0,07:33:39
6.96,0.0,07:34:12
6.96,0.0,07:34:45
6.96,0.0,07:35:19
6.96,0.0,07:35:52
6.96,0.0,07:36:26
6.96,0.0,07:36:59
6.96,0.0,07:37:31
6.96,0.0,07:38:05
6.96,0.0,07:38:38
6.96,0.0,07:39:12
6.96,0.0,07:39:44
6.96,0.0,07:40:18
6.95,-0.14367816,07:40:51
6.95,0.0,07:41:24
6.95,0.0,07:41:57
6.95,0.0,07:42:31
6.95,0.0,07:43:04
6.95,0.0,07:43:38
6.95,0.0,07:44:10
6.95,0.0,07:44:43
6.95,0.0,07:45:16
6.95,0.0,07:45:50
6.95,0.0,07:46:23
6.95,0.0,07:46:56
6.95,0.0,07:47:30
6.95,0.0,07:48:02
6.95,0.0,07:48:36
6.95,0.0,07:49:09
6.95,0.0,07:49:42
6.95,0.0,07:50:15
6.95,0.0,07:50:49
6.94,-0.14388489,07:51:22
6.94,0.0,07:51:55
6.94,0.0,07:52:29
6.94,0.0,07:53:02
6.94,0.0,07:53:35
6.94,0.0,07:54:09
6.94,0.0,07:54:42
6.94,0.0,07:55:15
6.94,0.0,07:55:48
6.94,0.0,07:56:21
6.94,0.0,07:56:55
6.94,0.0,07:57:28
6.94,0.0,07:58:01
6.94,0.0,07:58:34
6.94,0.0,07:59:08
6.94,0.0,07:59:41
6.94,0.0,08:00:15
6.94,0.0,08:00:49
6.94,0.0,08:01:22
6.94,0.0,08:01:55
6.94,0.0,08:02:29
6.93,-0.14409222,08:03:02
6.93,0.0,08:03:35
6.93,0.0,08:04:09
6.93,0.0,08:04:42
6.93,0.0,08:05:15
6.93,0.0,08:05:48
6.93,0.0,08:06:22
6.93,0.0,08:06:55
6.93,0.0,08:07:29
6.93,0.0,08:08:02
6.93,0.0,08:08:35
6.93,0.0,08:09:08
6.93,0.0,08:09:41
6.93,0.0,08:10:15
6.93,0.0,08:10:48
6.93,0.0,08:11:21
6.93,0.0,08:11:54
6.93,0.0,08:12:27
6.93,0.0,08:13:00
6.93,0.0,08:13:34
6.93,0.0,08:14:07
6.93,0.0,08:14:41
6.93,0.0,08:15:13
6.93,0.0,08:15:47
6.93,0.0,08:16:21
6.93,0.0,08:16:54
6.93,0.0,08:17:27
6.93,0.0,08:18:01
6.93,0.0,08:18:34
6.93,0.0,08:19:07
6.93,0.0,08:19:41
6.93,0.0,08:20:14
6.93,0.0,08:20:47
6.93,0.0,08:21:21
6.93,0.0,08:21:54
6.93,0.0,08:22:27
6.93,0.0,08:23:01
6.93,0.0,08:23:34
6.93,0.0,08:24:08
6.93,0.0,08:24:41
6.93,0.0,08:25:15
6.93,0.0,08:25:48
6.93,0.0,08:26:22
6.93,0.0,08:26:55
6.93,0.0,08:27:29
6.93,0.0,08:28:02
6.94,0.14430014,08:28:35
6.94,0.0,08:29:08
6.94,0.0,08:29:42
6.94,0.0,08:30:15
6.94,0.0,08:30:49
6.96,0.28818444,08:31:21
6.96,0.0,08:31:55
6.96,0.0,08:32:28
6.96,0.0,08:33:01
6.96,0.0,08:33:35
6.96,0.0,08:34:08
6.96,0.0,08:34:41
6.96,0.0,08:35:14
6.96,0.0,08:35:47
6.89,-1.00574713,08:36:21
6.89,0.0,08:36:54
6.89,0.0,08:37:27
6.89,0.0,08:38:01
6.89,0.0,08:38:34
6.89,0.0,08:39:08
6.89,0.0,08:39:41
6.89,0.0,08:40:14
6.89,0.0,08:40:48
6.89,0.0,08:41:21
6.89,0.0,08:41:54
6.89,0.0,08:42:29
6.89,0.0,08:43:02
6.95,0.87082729,08:43:35
6.95,0.0,08:44:09
6.95,0.0,08:44:42
6.95,0.0,08:45:15
6.89,-0.86330935,08:45:49
6.89,0.0,08:46:22
6.89,0.0,08:46:55
6.89,0.0,08:47:29
6.89,0.0,08:48:02
6.89,0.0,08:48:35
6.89,0.0,08:49:09
6.89,0.0,08:49:42
6.89,0.0,08:50:16
6.89,0.0,08:50:49
6.89,0.0,08:51:22
6.89,0.0,08:51:55
6.89,0.0,08:52:29
6.95,0.87082729,08:53:02
6.95,0.0,08:53:35
6.95,0.0,08:54:08
6.95,0.0,08:54:42
6.95,0.0,08:55:15
6.95,0.0,08:55:48
6.95,0.0,08:56:22
6.95,0.0,08:56:55
6.95,0.0,08:57:28
6.95,0.0,08:58:02
6.95,0.0,08:58:35
6.95,0.0,08:59:08
6.95,0.0,08:59:41
6.95,0.0,09:00:14
6.95,0.0,09:00:48
6.95,0.0,09:01:21
6.95,0.0,09:01:53
6.95,0.0,09:02:27
6.95,0.0,09:03:00
6.95,0.0,09:03:32
6.95,0.0,09:04:05
6.95,0.0,09:04:39
6.95,0.0,09:05:12
6.95,0.0,09:05:45
6.95,0.0,09:06:19
6.95,0.0,09:06:52
6.95,0.0,09:07:25
6.95,0.0,09:07:58
6.95,0.0,09:08:32
6.95,0.0,09:09:43
6.95,0.0,09:10:17
6.95,0.0,09:10:50
6.95,0.0,09:11:23
6.95,0.0,09:11:57
6.95,0.0,09:12:30
6.95,0.0,09:13:03
6.95,0.0,09:13:36
6.95,0.0,09:14:09
6.95,0.0,09:14:42
6.95,0.0,09:15:15
6.95,0.0,09:15:48
6.95,0.0,09:16:21
6.95,0.0,09:16:55
6.95,0.0,09:17:29
6.95,0.0,09:18:02
6.95,0.0,09:18:35
6.95,0.0,09:19:09
6.93,-0.28776978,09:19:42
6.93,0.0,09:20:15
6.93,0.0,09:20:48
6.93,0.0,09:21:22
6.93,0.0,09:21:55
6.93,0.0,09:22:28
6.93,0.0,09:23:02
6.93,0.0,09:23:35
6.93,0.0,09:24:08
6.93,0.0,09:24:41
6.93,0.0,09:25:14
6.93,0.0,09:25:47
6.93,0.0,09:26:21
6.93,0.0,09:26:54
6.93,0.0,09:27:28
6.93,0.0,09:28:01
6.93,0.0,09:28:35
6.93,0.0,09:29:07
6.93,0.0,09:29:41
6.93,0.0,09:30:14
6.93,0.0,09:30:47
6.93,0.0,09:31:20
6.93,0.0,09:31:53
6.93,0.0,09:32:27
6.93,0.0,09:33:00
6.93,0.0,09:33:33
6.93,0.0,09:34:07
6.93,0.0,09:34:40
6.93,0.0,09:35:13
