xrp_mxn,Porcentage,Time
8.1,0.0,06:31:02
8.1,0.0,06:31:35
8.1,0.0,06:32:08
8.1,0.0,06:32:41
8.1,0.0,06:33:15
8.1,0.0,06:33:48
8.25,1.85185185,06:34:21
8.25,0.0,06:34:54
8.25,0.0,06:35:27
8.25,0.0,06:36:00
8.25,0.0,06:36:34
8.25,0.0,06:37:07
8.25,0.0,06:37:41
8.25,0.0,06:38:15
8.25,0.0,06:38:48
8.25,0.0,06:39:22
8.25,0.0,06:39:55
8.25,0.0,06:40:29
8.25,0.0,06:41:02
8.25,0.0,06:41:35
8.25,0.0,06:42:08
8.25,0.0,06:42:41
8.25,0.0,06:43:14
8.25,0.0,06:43:48
8.25,0.0,06:44:21
8.25,0.0,06:44:55
8.25,0.0,06:45:28
8.25,0.0,06:46:01
8.25,0.0,06:46:34
8.24,-0.12121212,06:47:08
8.24,0.0,06:47:41
8.24,0.0,06:48:14
8.24,0.0,06:48:48
8.24,0.0,06:49:21
8.24,0.0,06:49:55
8.24,0.0,06:50:28
8.24,0.0,06:51:01
8.24,0.0,06:51:35
8.24,0.0,06:52:08
8.24,0.0,06:52:41
8.24,0.0,06:53:14
8.24,0.0,06:53:48
8.25,0.12135922,06:54:21
8.25,0.0,06:54:55
8.25,0.0,06:55:28
8.25,0.0,06:56:02
8.1,-1.81818182,06:56:40
8.1,0.0,06:57:13
8.1,0.0,06:57:47
8.1,0.0,06:58:20
8.1,0.0,06:58:54
8.1,0.0,06:59:27
8.1,0.0,06:59:59
8.1,0.0,07:00:33
8.1,0.0,07:01:05
8.1,0.0,07:01:38
8.25,1.85185185,07:02:11
8.25,0.0,07:02:44
8.25,0.0,07:03:17
8.25,0.0,07:03:50
8.25,0.0,07:04:23
8.25,0.0,07:04:56
8.25,0.0,07:05:29
8.25,0.0,07:06:02
8.25,0.0,07:06:35
8.25,0.0,07:07:08
8.24,-0.12121212,07:07:41
8.24,0.0,07:08:14
8.24,0.0,07:08:48
8.24,0.0,07:09:21
